CA#,ReceiveDate,ProductName,UPC,PackSize,UBD,Time,Plant,Complaint,ReportCode,RetailerCustomer,HowReceived,ProductComments,City,ST
32965117,2020-08-03,POTATO DEVILED EGG RESERS AMCL 6/3#,'71117.00480',6/3#,Aug-14-2020,21:56,10,Yes,'1.1',Smith's,Call Center,RB: Reported mold.,Las Vegas,NV
32964892,2020-07-29,"STRIPS 1/4"" YLW CORN NF 1/20#",'79341.01275',1/20#,08/11/20,14:58,16,Yes,'1.1',Nicholas & Co,Sales Fwd,Customer reports moldy chips. 5 cs affected. (sample being sent to #16),,
32964997,2020-07-31,"FLOUR TORT 13"" WHOLE WHEAT DON PANCHO 10/10/42Z",'79341.02213',10/10/42z,09/15/20,07:55,16,Yes,'1.1',Route Sales,Sales Fwd,Customer reports mold. 1 case affected.,,
32965674,2020-08-10,"FLOUR TORT 13"" WHOLE WHEAT DON PANCHO 10/10/42Z",'79341.02213',10/10/42z,09/15/20,07:56,16,Yes,'1.1',Winco,Sales Fwd,Customer reports moldy tortillas.1 cs affected.,,
32963586,2020-07-16,PRE CUT FOR CHIPS ULTRA THIN WHITE,'79341.22843',1/20#,08/03/20,06:12,16,Yes,'1.1',Costa Vida,Sales Fwd,Customer reports moldy chips. ,,
32966474,2020-08-18,PRECUT YELLOW CORN,'79341.22828',1/20#,06/19/20,07:12,16,Yes,'1.1',McLean Meats,Sales Fwd,Customer reports moldy tortilla chips.,,
32964414,2020-07-17,"WHITE FLOUR TORTILLA ORGANIC 8""",'79341.09221',10/6/9.3Z,07/28/20,07:35,16,Yes,'1.1',Safeway,E-mail,Consumer reported mold.,North Bend,OR
32962598,2020-07-07,PRE CUT FOR CHIPS ULTRA THIN WHITE,'79341.22843',20#,07/13/2020,11:30,16,Yes,'1.1',Sysco Kansas City,Sales Fwd,Customer reports moldy chips.,,
32962259,2020-06-30,PRECUT WHITE NON-GMO,'79341.22830',1/20#,07/14/2020,16:45,16,Yes,'1.1',PDI,Sales Fwd,Customer reports moldy tortilla chips.2 cs affected.,,
32966142,2020-08-13,PRECUT WHITE NO PRES FROZEN (6) CHIPOTLE 1/32,'79341.22845',1/32#,200729016,,16,Yes,'1.1',Chipotle,Sales Fwd,Customer reports moldy tortilla chips. 1 cs affected.,,
32966587,2020-08-03,POTATO AND EGG SALAD,'',,2020-se-06 ,00:23,20,Yes,'1.1',Walmart,E-mail,Consumer reported mold.,Mississauga,ON
32966241,2020-07-28,BKD POTATO TRICLR RSTD SALT PPR MSB COSTCO 6/2/20Z,'71117.61484',6/2/20Z,8/9/20,14:46,21,Yes,'1.1',Safeway,E-mail,Consumer reported mold.,Alexandria,VA
32962714,2020-06-30,GARLIC & ROSEMARY ROASTED POTATOES,'71117.02701',6/17Z ,06/27/2020,15:11,21,Yes,'1.1',Rouses,E-mail,Consumer reported mold.,Ponchatoula,LA
32963121,2020-07-04,SALT AND PEPPER ROASTED POTATOES,'71117.61484',6/2/20Z,07/06/2020,15:54,21,Yes,'1.1',Costco,E-mail,RB: Reported mold.,Lumberton,NJ
32966834,2020-08-06,BKD POTATO ROASTED TRICOLOR SEA SALT MSB 6/17Z,'71117.02702',6/17z,AUG/28/2020 ,13:07,21,Yes,'1.1',Jewel,E-mail,Consumer reported mold. (photo attached),Chicago,IL
32966990,2020-08-24,BKD POTATO ROASTED TRICOLOR SEA SALT MSB 6/17Z,'71117.02702',6/17z,Aug 19 2020,17:18,21,Yes,'1.1',Jewel,Call Center,RB reports mold day before UBD.,Hoffman Estates,IL
32965326,2020-08-04,BAKED BRISKET MACARONI AND CHEESE,'71117.61714',12/40z,08/06/2020,,21,Yes,'1.1',,E-mail,R&D reports item was moldy.,,
